tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
8/18/2018,62,30,14,143,14,143,O3,3,DKI5
8/19/2018,79,32,20,149,13,149,O3,3,DKI5
8/20/2018,80,30,19,101,11,101,O3,3,DKI5
8/21/2018,73,32,16,122,11,122,O3,3,DKI3
8/22/2018,62,31,16,164,9,164,O3,3,DKI5
8/23/2018,62,30,17,161,16,161,O3,3,DKI5
8/24/2018,81,32,22,110,18,110,O3,3,DKI5
8/25/2018,76,31,19,202,13,202,O3,4,DKI5
8/26/2018,75,30,16,131,12,131,O3,3,DKI5
8/27/2018,79,31,20,166,13,166,O3,3,DKI5
8/28/2018,83,31,17,182,13,182,O3,3,DKI5
8/29/2018,67,30,16,161,13,161,O3,3,DKI5
8/30/2018,85,31,17,153,16,153,O3,3,DKI2
8/31/2018,65,30,18,130,11,130,O3,3,DKI5
9/1/2018,68,29,20,145,13,145,O3,3,DKI5
9/2/2018,73,30,20,136,11,136,O3,3,DKI5
9/3/2018,62,37,23,175,24,175,O3,3,DKI5
9/4/2018,52,37,22,217,24,217,O3,4,DKI5
9/5/2018,53,31,15,140,24,140,O3,3,DKI5
9/6/2018,82,44,25,148,17,148,O3,3,DKI5
9/7/2018,69,33,21,147,10,147,O3,3,DKI5
9/8/2018,51,33,19,175,16,175,O3,3,DKI5
9/9/2018,81,34,30,126,16,126,O3,3,DKI5
9/10/2018,69,33,20,132,12,132,O3,3,DKI5
9/11/2018,63,33,16,102,11,102,O3,3,DKI5
9/12/2018,61,32,16,164,13,164,O3,3,DKI2
9/13/2018,70,46,19,190,13,190,O3,3,DKI5
9/14/2018,62,44,18,233,17,233,O3,4,DKI2
9/15/2018,68,37,17,196,23,196,O3,3,DKI2
9/16/2018,82,34,15,119,11,119,O3,3,DKI2
9/17/2018,62,33,17,83,14,83,O3,2,DKI5
9/18/2018,64,32,18,141,11,141,O3,3,DKI5
9/19/2018,58,34,16,85,11,85,O3,2,DKI5
9/20/2018,70,34,19,77,12,77,O3,2,DKI5
9/21/2018,80,33,34,75,12,80,PM10,2,DKI4
9/22/2018,58,33,25,157,13,157,O3,3,DKI5
9/23/2018,84,33,29,130,14,130,O3,3,DKI5
9/24/2018,69,33,25,152,21,152,O3,3,DKI5
9/25/2018,78,32,31,197,16,197,O3,3,DKI5
9/26/2018,94,50,26,202,21,202,O3,4,DKI5
9/27/2018,72,37,21,146,18,146,O3,3,DKI5
9/28/2018,70,33,22,194,17,194,O3,3,DKI5
9/29/2018,62,33,21,165,15,165,O3,3,DKI5
9/30/2018,63,32,20,145,11,145,O3,3,DKI5
10/1/2018,92,33,17,124,12,124,O3,3,DKI5
10/2/2018,76,41,22,88,21,88,O3,2,DKI5
10/3/2018,70,32,20,144,11,144,O3,3,DKI5
10/4/2018,73,32,24,109,11,109,O3,3,DKI5
10/5/2018,67,34,18,146,13,146,O3,3,DKI5
10/6/2018,70,33,21,123,12,123,O3,3,DKI5
10/7/2018,87,34,22,128,12,128,O3,3,DKI5
10/8/2018,66,34,19,185,12,185,O3,3,DKI5
10/9/2018,62,34,19,173,11,173,O3,3,DKI5
10/10/2018,79,36,24,190,18,190,O3,3,DKI5
10/11/2018,81,36,17,149,13,149,O3,3,DKI5
10/12/2018,77,35,22,118,16,118,O3,3,DKI5
10/13/2018,64,35,20,189,25,189,O3,3,DKI2
10/14/2018,86,35,20,138,16,138,O3,3,DKI5
10/15/2018,73,33,19,119,12,119,O3,3,DKI5
10/16/2018,74,33,23,210,19,210,O3,4,DKI5
10/17/2018,75,34,23,217,19,217,O3,4,DKI5
10/18/2018,72,36,20,207,22,207,O3,4,DKI5
10/19/2018,66,30,23,146,17,146,O3,3,DKI5
10/20/2018,57,31,18,212,14,212,O3,4,DKI5
10/21/2018,65,33,22,139,17,139,O3,3,DKI5
10/22/2018,71,28,21,150,12,150,O3,3,DKI5
10/23/2018,44,26,19,148,16,148,O3,3,DKI2
10/24/2018,73,35,31,139,21,139,O3,3,DKI2
10/25/2018,67,30,25,97,19,97,O3,2,DKI5
10/26/2018,67,29,20,119,21,119,O3,3,DKI2
10/27/2018,77,26,26,104,11,104,O3,3,DKI3
10/28/2018,43,23,20,90,16,90,O3,2,DKI3
10/29/2018,49,25,24,85,13,85,O3,2,DKI3
10/30/2018,61,31,25,104,10,104,O3,3,DKI3
10/31/2018,57,27,20,97,15,97,O3,2,DKI3
11/1/2018,74,27,35,95,16,95,O3,2,DKI2
11/2/2018,50,26,21,85,13,85,O3,2,DKI3
11/3/2018,76,29,24,173,14,173,O3,3,DKI2
11/4/2018,56,26,31,110,18,110,O3,3,DKI5
11/5/2018,56,24,23,101,17,101,O3,3,DKI3
11/6/2018,53,28,20,122,12,122,O3,3,DKI2
11/7/2018,59,28,26,96,30,96,O3,2,DKI5
11/8/2018,63,32,24,89,21,89,O3,2,DKI3
11/9/2018,61,24,22,98,16,98,O3,2,DKI3
11/10/2018,60,24,36,166,19,166,O3,3,DKI3
11/11/2018,71,40,35,104,16,104,O3,3,DKI3
11/12/2018,66,24,31,144,15,144,O3,3,DKI2
11/13/2018,66,23,31,129,23,129,O3,3,DKI2
11/14/2018,60,23,25,65,17,65,O3,2,DKI2
11/15/2018,40,23,20,51,8,51,O3,2,DKI2
11/16/2018,54,31,22,234,16,234,O3,4,DKI2
11/17/2018,65,36,18,145,16,145,O3,3,DKI2
11/18/2018,59,28,22,120,16,120,O3,3,DKI3
11/19/2018,81,25,31,90,17,90,O3,2,DKI3
11/20/2018,56,25,21,94,16,94,O3,2,DKI2
11/21/2018,66,31,21,163,22,163,O3,3,DKI2
11/22/2018,69,26,25,129,20,129,O3,3,DKI2
11/23/2018,66,27,26,203,22,203,O3,4,DKI2
11/24/2018,61,24,38,193,22,193,O3,3,DKI2
11/25/2018,57,25,21,77,15,77,O3,2,DKI3
11/26/2018,73,24,26,90,20,90,O3,2,DKI3
11/27/2018,63,24,28,126,19,126,O3,3,DKI3
11/28/2018,63,26,22,109,17,109,O3,3,DKI2
11/29/2018,62,27,33,76,26,76,O3,2,DKI3
11/30/2018,53,24,20,131,15,131,O3,3,DKI3
12/1/2018,60,26,27,112,17,112,O3,3,DKI3
12/2/2018,73,36,22,132,21,132,O3,3,DKI2
12/3/2018,65,31,21,97,20,97,O3,2,DKI2
12/4/2018,64,24,31,71,21,71,O3,2,DKI1
12/5/2018,62,25,33,81,22,81,O3,2,DKI5
12/6/2018,61,27,33,94,17,94,O3,2,DKI3
